road_th: 0.0 | vehicle_th: 0.5 | Car F score: 0.686 | Car Precision: 0.802 | Car Recall: 0.662 | Road F score: 0.393 | Road Precision: 0.341 | Road Recall: 0.998 | Averaged F score: 0.539
road_th: 0.55 | vehicle_th: 0.16 | Car F score: 0.785 | Car Precision: 0.547 | Car Recall: 0.881 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.880
road_th: 0.55 | vehicle_th: 0.17 | Car F score: 0.787 | Car Precision: 0.558 | Car Recall: 0.876 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.880
road_th: 0.55 | vehicle_th: 0.18 | Car F score: 0.787 | Car Precision: 0.569 | Car Recall: 0.871 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.881
road_th: 0.55 | vehicle_th: 0.19 | Car F score: 0.788 | Car Precision: 0.579 | Car Recall: 0.866 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.881
road_th: 0.55 | vehicle_th: 0.20 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.881
road_th: 0.55 | vehicle_th: 0.21 | Car F score: 0.788 | Car Precision: 0.599 | Car Recall: 0.855 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.881
road_th: 0.55 | vehicle_th: 0.22 | Car F score: 0.787 | Car Precision: 0.608 | Car Recall: 0.850 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.881
road_th: 0.55 | vehicle_th: 0.23 | Car F score: 0.786 | Car Precision: 0.617 | Car Recall: 0.844 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.880
road_th: 0.55 | vehicle_th: 0.24 | Car F score: 0.785 | Car Precision: 0.626 | Car Recall: 0.839 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.880
road_th: 0.55 | vehicle_th: 0.25 | Car F score: 0.784 | Car Precision: 0.635 | Car Recall: 0.833 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.879
road_th: 0.55 | vehicle_th: 0.26 | Car F score: 0.782 | Car Precision: 0.643 | Car Recall: 0.827 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.878
road_th: 0.55 | vehicle_th: 0.27 | Car F score: 0.780 | Car Precision: 0.652 | Car Recall: 0.821 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.877
road_th: 0.55 | vehicle_th: 0.28 | Car F score: 0.778 | Car Precision: 0.660 | Car Recall: 0.814 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.876
road_th: 0.50 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.972 | Road Precision: 0.977 | Road Recall: 0.954 | Averaged F score: 0.880
road_th: 0.51 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.973 | Road Precision: 0.978 | Road Recall: 0.950 | Averaged F score: 0.880
road_th: 0.52 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.973 | Road Precision: 0.980 | Road Recall: 0.947 | Averaged F score: 0.881
road_th: 0.53 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.973 | Road Precision: 0.981 | Road Recall: 0.943 | Averaged F score: 0.881
road_th: 0.54 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.974 | Road Precision: 0.983 | Road Recall: 0.940 | Averaged F score: 0.881
road_th: 0.55 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.974 | Road Precision: 0.984 | Road Recall: 0.936 | Averaged F score: 0.881
road_th: 0.56 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.974 | Road Precision: 0.986 | Road Recall: 0.932 | Averaged F score: 0.881
road_th: 0.57 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.975 | Road Precision: 0.987 | Road Recall: 0.928 | Averaged F score: 0.881
road_th: 0.58 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.974 | Road Precision: 0.988 | Road Recall: 0.924 | Averaged F score: 0.881
road_th: 0.59 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.974 | Road Precision: 0.989 | Road Recall: 0.920 | Averaged F score: 0.881
road_th: 0.60 | vehicle_th: 0.2 | Car F score: 0.788 | Car Precision: 0.589 | Car Recall: 0.861 | Road F score: 0.974 | Road Precision: 0.990 | Road Recall: 0.916 | Averaged F score: 0.881
